canonicalId,name,description,module,path
"bmad-cis-agent-brainstorming-coach","bmad-cis-agent-brainstorming-coach","Elite brainstorming specialist for facilitated ideation sessions. Use when the user asks to talk to Carson or requests the Brainstorming Specialist.","cis","_bmad/cis/skills/bmad-cis-agent-brainstorming-coach/SKILL.md"
"bmad-cis-agent-creative-problem-solver","bmad-cis-agent-creative-problem-solver","Master problem solver for systematic problem-solving methodologies. Use when the user asks to talk to Dr. Quinn or requests the Master Problem Solver.","cis","_bmad/cis/skills/bmad-cis-agent-creative-problem-solver/SKILL.md"
"bmad-cis-agent-design-thinking-coach","bmad-cis-agent-design-thinking-coach","Design thinking maestro for human-centered design processes. Use when the user asks to talk to Maya or requests the Design Thinking Maestro.","cis","_bmad/cis/skills/bmad-cis-agent-design-thinking-coach/SKILL.md"
"bmad-cis-agent-innovation-strategist","bmad-cis-agent-innovation-strategist","Disruptive innovation oracle for business model innovation and strategic disruption. Use when the user asks to talk to Victor or requests the Disruptive Innovation Oracle.","cis","_bmad/cis/skills/bmad-cis-agent-innovation-strategist/SKILL.md"
"bmad-cis-agent-presentation-master","bmad-cis-agent-presentation-master","Visual communication and presentation expert for slide decks, pitch decks, and visual storytelling. Use when the user asks to talk to Caravaggio or requests the Presentation Expert.","cis","_bmad/cis/skills/bmad-cis-agent-presentation-master/SKILL.md"
"bmad-cis-agent-storyteller","bmad-cis-agent-storyteller","Master storyteller for compelling narratives using proven frameworks. Use when the user asks to talk to Sophia or requests the Master Storyteller.","cis","_bmad/cis/skills/bmad-cis-agent-storyteller/SKILL.md"
"bmad-cis-design-thinking","bmad-cis-design-thinking","Guide human-centered design processes using empathy-driven methodologies. Use when the user says ""lets run design thinking"" or ""I want to apply design thinking""","cis","_bmad/cis/skills/bmad-cis-design-thinking/SKILL.md"
"bmad-cis-innovation-strategy","bmad-cis-innovation-strategy","Identify disruption opportunities and architect business model innovation. Use when the user says ""lets create an innovation strategy"" or ""I want to find disruption opportunities""","cis","_bmad/cis/skills/bmad-cis-innovation-strategy/SKILL.md"
"bmad-cis-problem-solving","bmad-cis-problem-solving","Apply systematic problem-solving methodologies to complex challenges. Use when the user says ""guide me through structured problem solving"" or ""I want to crack this challenge with guided problem solving techniques""","cis","_bmad/cis/skills/bmad-cis-problem-solving/SKILL.md"
"bmad-cis-storytelling","bmad-cis-storytelling","Craft compelling narratives using story frameworks. Use when the user says ""help me with storytelling"" or ""I want to create a narrative through storytelling""","cis","_bmad/cis/skills/bmad-cis-storytelling/SKILL.md"
"wds-agent-freya-ux","wds-agent-freya-ux","Strategic UX designer and design thinking partner for WDS. Use when the user asks to talk to Freya or requests the WDS designer.","wds","_bmad/wds/agents/wds-agent-freya-ux/SKILL.md"
"wds-agent-mimir-builder","wds-agent-mimir-builder","Implementation agent. Owns the tech audit, the PRD, and the build. Reads Freya's Work Orders and turns them into working code — one verified task at a time.","wds","_bmad/wds/agents/wds-agent-mimir-builder/SKILL.md"
"wds-agent-saga-analyst","wds-agent-saga-analyst","Strategic business analyst and product discovery partner for WDS. Use when the user asks to talk to Saga or requests the WDS analyst.","wds","_bmad/wds/agents/wds-agent-saga-analyst/SKILL.md"
"memory","memory","Session state backend for WDS. Called by wrap, start, and handoff tools — never directly by users. Writes to progress/ in the project repo.","wds","_bmad/wds/tools/memory/SKILL.md"
"sync","sync","Syncs WDS skills from the current project (_bmad/wds/) to ~/.claude/commands/ so they work in any project. Called automatically on every agent activation.","wds","_bmad/wds/tools/sync/SKILL.md"
"wds-0-alignment-signoff","wds-0-alignment-signoff","Create alignment around your idea before starting the project","wds","_bmad/wds/workflows/wds-0-alignment-signoff/SKILL.md"
"wds-0-project-setup","wds-0-project-setup","Project onboarding - determine project type, complexity, tech stack, and route to correct phase","wds","_bmad/wds/workflows/wds-0-project-setup/SKILL.md"
"wds-1-project-brief","wds-1-project-brief","Establish project context - foundation for all design work","wds","_bmad/wds/workflows/wds-1-project-brief/SKILL.md"
"wds-2-trigger-mapping","wds-2-trigger-mapping","Map business goals to user psychology through structured workshops","wds","_bmad/wds/workflows/wds-2-trigger-mapping/SKILL.md"
"wds-3-scenarios","wds-3-scenarios","Create UX scenario outlines from Trigger Map through structured micro-steps","wds","_bmad/wds/workflows/wds-3-scenarios/SKILL.md"
"wds-4-ux-design","wds-4-ux-design","Transform ideas into detailed visual specifications through scenario-driven design","wds","_bmad/wds/workflows/wds-4-ux-design/SKILL.md"
"wds-5-agentic-development","wds-5-agentic-development","AI-assisted development, testing, and reverse engineering through structured agent collaboration","wds","_bmad/wds/workflows/wds-5-agentic-development/SKILL.md"
"wds-6-asset-generation","wds-6-asset-generation","Generate visual and text assets from specifications through AI-powered creative production","wds","_bmad/wds/workflows/wds-6-asset-generation/SKILL.md"
"wds-7-design-system","wds-7-design-system","Create, import, browse, and maintain design system components and tokens","wds","_bmad/wds/workflows/wds-7-design-system/SKILL.md"
"wds-8-product-evolution","wds-8-product-evolution","Brownfield improvements — the full WDS pipeline in miniature for existing products","wds","_bmad/wds/workflows/wds-8-product-evolution/SKILL.md"
